         73528744 function calls (68824215 primitive calls) in 208.417 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    58729    0.128    0.000    0.605    0.000 queues.py:39(get_async)
     3927    0.124    0.000    0.124    0.000 depth.py:135(<listcomp>)
   199832    0.123    0.000    0.123    0.000 {method 'group' of 're.Match' objects}
    38520    0.121    0.000    6.132    0.000 client_proto.py:173(data_received)
    13023    0.119    0.000    0.744    0.000 mongo.py:23(fetch_n_items)
    93418    0.117    0.000    0.118    0.000 queues.py:28(get_queue)
     5272    0.117    0.000    0.847    0.000 huobi.py:51(_handle_depth)
    12862    0.116    0.000    0.116    0.000 util.py:24(is_timestamp)
     7337    0.115    0.000    1.253    0.000 {method 'read' of '_io.BufferedReader' objects}
   135622    0.115    0.000    0.115    0.000 {method 'clear' of 'bytearray' objects}
    48852    0.114    0.000    0.114    0.000 {built-in method utcnow}
     7317    0.112    0.000    0.323    0.000 gzip.py:123(__init__)
     7317    0.112    0.000    3.875    0.001 huobi.py:122(handle_ws_ping)
    12930    0.112    0.000    0.140    0.000 arrow.py:60(__init__)
     9718    0.112    0.000    1.752    0.000 binance.py:32(dispatch_ws_msg)
   451409    0.111    0.000    0.111    0.000 {method 'end' of 're.Match' objects}
    37116    0.109    0.000    0.473    0.000 base_events.py:662(call_soon)
    37676    0.107    0.000    0.107    0.000 {built-in method utcfromtimestamp}
    12897    0.107    0.000    0.261    0.000 arrow.py:136(fromdatetime)
    46768    0.107    0.000    1.544    0.000 __init__.py:94(transport)
   259718    0.102    0.000    0.102    0.000 {method 'popleft' of 'collections.deque' objects}
     7205    0.099    0.000    3.337    0.000 __init__.py:71(_log_msg)
89781/89701    0.098    0.000    0.102    0.000 {method 'join' of 'str' objects}
     7317    0.097    0.000    1.814    0.000 gzip.py:527(decompress)
        2    0.096    0.048  207.748  103.874 base_events.py:506(run_forever)
    38506    0.094    0.000    6.010    0.000 http_websocket.py:264(feed_data)
    46027    0.093    0.000   41.298    0.001 dataclasses.py:992(asdict)
    72762    0.093    0.000    0.128    0.000 types.py:164(__get__)
    69386    0.092    0.000    0.092    0.000 {built-in method builtins.max}
     4989    0.091    0.000    2.353    0.000 bitmex.py:86(_handle_orderbook10)
     5380    0.091    0.000    3.810    0.001 bitflyer.py:30(dispatch_ws_msg)
    47965    0.091    0.000    0.119    0.000 gzip.py:80(read)
     4024    0.091    0.000    1.937    0.000 bitflyer.py:45(_handle_ticker)
    46768    0.090    0.000    1.149    0.000 __init__.py:88(tunnel_put)
    35860    0.090    0.000   83.010    0.002 base_py3.py:12(run_coroutine_job)
      508    0.087    0.000    0.087    0.000 {built-in method marshal.loads}
    48819    0.085    0.000    0.199    0.000 _factories.py:11(factory_utcnow)
