         466104169 function calls (439067109 primitive calls) in 1497.898 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1071174    0.717    0.000    0.904    0.000 inspect.py:80(ismethod)
    27909    0.714    0.000    2.206    0.000 binance.py:45(_handle_ticker)
    38802    0.712    0.000    4.034    0.000 huobi.py:51(_handle_depth)
    62224    0.711    0.000   13.620    0.000 gzip.py:527(decompress)
  1076506    0.703    0.000    4.460    0.000 re.py:232(compile)
   239354    0.701    0.000    0.701    0.000 {method 'sub' of 're.Pattern' objects}
    38802    0.700    0.000    0.700    0.000 huobi.py:61(<listcomp>)
   240458    0.687    0.000    0.687    0.000 {method 'search' of 're.Pattern' objects}
   120715    0.681    0.000    0.681    0.000 {method 'replace' of 'datetime.datetime' objects}
    29089    0.676    0.000    1.223    0.000 collection.py:75(__init__)
    62244    0.671    0.000    9.661    0.000 {method 'read' of '_io.BufferedReader' objects}
   265160    0.667    0.000    0.667    0.000 {built-in method utcfromtimestamp}
  1326660    0.666    0.000    2.149    0.000 copy.py:273(<genexpr>)
   291279    0.650    0.000    9.383    0.000 __init__.py:94(transport)
   403256    0.650    0.000    0.847    0.000 gzip.py:80(read)
   290971    0.639    0.000    1.030    0.000 queues.py:176(get_nowait)
    29089    0.622    0.000    2.998    0.000 __init__.py:59(run_on_executor)
   297256    0.617    0.000    0.617    0.000 {built-in method utcnow}
  2146478    0.615    0.000    0.615    0.000 {method 'append' of 'collections.deque' objects}
  2175815    0.603    0.000    0.603    0.000 {method 'popleft' of 'collections.deque' objects}
    29089    0.603    0.000    1.882    0.000 thread.py:145(submit)
    29691    0.590    0.000   13.067    0.000 bitflyer.py:45(_handle_ticker)
   207502    0.571    0.000   82.209    0.000 selector_events.py:774(_read_ready)
   582268    0.563    0.000    0.564    0.000 queues.py:28(get_queue)
   582250    0.561    0.000    2.500    0.000 queues.py:61(_wakeup_next)
